区域,小区名称,户型,面积,价格(万),单价(元/平米),性质,朝向,装修,是否有电梯,楼层,建筑年代,楼型
东城,中海紫御公馆 ,2室2厅,91.85,1100,119761,房本满五年,南,精装,有电梯,高楼层(共22层)2010年建板塔结合,,-
东城,民安小区东直门北中街 ,2室1厅,71.17,829,116482,房本满五年,东,精装,无,中楼层(共11层)2002年建板塔结合,,-
东城,中景濠庭 ,1室1厅,74.21,690,92980,房本满五年,北,精装,有电梯,低楼层(共22层)2001年建板塔结合,,-
东城,幸福南里 ,3室2厅,125.03,1100,87979,房本满五年,南北,精装,无电梯,顶层(共4层)1965年建板楼,,-
东城,新怡家园 ,3室1厅,161.49,2250,139328,房本满五年,南北,简装,有电梯,中楼层(共15层)2004年建板楼,,-
东城,金世纪嘉园 ,2室1厅,84.51,813,96202,房本满五年,西南,简装,无,中楼层(共21层)2005年建塔楼,,-
东城,天天家园 ,3室2厅,153.21,1120,73103,房本满五年,西北,简装,无,高楼层(共11层)2002年建板塔结合,,-
东城,新景家园西区 ,2室1厅,81.16,860,105964,房本满五年,南北,简装,有电梯,低楼层(共17层)2004年建板塔结合,,-
东城,东花市北里中区 ,4室3厅,184.3,1525,82746,房本满五年,东南北,简装,无,顶层(共5层)1994年建板楼,,-
东城,朝阳首府 ,2室1厅,87.66,980,111796,房本满五年,西,精装,有电梯,中楼层(共15层)2009年建塔楼,,-
东城,崇文门东大街 ,2室1厅,78.65,835,106167,房本满五年,北,简装,有电梯,中楼层(共17层)1980年建塔楼,,-
东城,青年湖北里 ,3室1厅,78.66,720,91534,房本满五年,东南北,简装,无电梯,中楼层(共6层)1988年建板楼,,-
东城,青年湖东里 ,2室1厅,61.2,642,104902,房本满五年,南北,简装,无电梯,低楼层(共6层)1994年建板楼,,-
东城,天天家园 ,3室1厅,148.39,1150,77499,房本满五年,东南,精装,有电梯,低楼层(共11层)2002年建板塔结合,,-
东城,民旺园 ,1室1厅,47.61,476,99979,房本满五年,南,精装,无电梯,中楼层(共4层)1994年建板楼,,-
东城,南弓匠营胡同 ,3室1厅,83.88,1200,143062,房本满五年,南北,简装,无电梯,底层(共6层)2003年建板楼,,-
东城,幸福南里 ,3室1厅,65.44,630,96272,房本满五年,东南北,精装,有电梯,高楼层(共12层)1980年建板塔结合,,-
东城,幸福家园二期 ,2室1厅,65.48,790,120648,,北,精装,有电梯,高楼层(共13层)2003年建板塔结合,,-
东城,金鱼池东区 ,2室1厅,72.98,700,95917,,南北,简装,无,低楼层(共6层)2003年建板塔结合,,-
东城,豆瓣胡同 ,2室1厅,71.2,950,133427,,东西,精装,无,中楼层(共12层)2003年建板楼,,-
东城,华龙美晟 ,2室1厅,77.7,598,76963,,北,精装,有电梯,顶层(共12层)2009年建板塔结合,,-
东城,海运仓小区 ,3室1厅,82.95,986,118867,,南北,简装,无电梯,底层(共6层)2002年建板楼,,-
东城,营房西街 ,1室1厅,43.41,412,94910,,东北,简装,无电梯,中楼层(共6层)1992年建板楼,,-
东城,朝阳门南小街 ,2室2厅,70.97,820,115542,,南北,精装,有电梯,中楼层(共8层)2004年建板塔结合,,-
东城,春秀路 ,3室1厅,69.76,730,104645,,南北,精装,无电梯,高楼层(共6层)1984年建板楼,,-
东城,新景家园东区 ,1室1厅,61.37,630,102657,,东南北,简装,有电梯,中楼层(共16层)2002年建板塔结合,,-
东城,新景家园东区 ,1室1厅,61.37,630,102657,房本满五年,东南北,简装,有电梯,中楼层(共16层)2002年建板塔结合,,-
东城,绿景苑 ,3室2厅,155.88,1500,96228,房本满五年,南西北,简装,有电梯,低楼层(共14层)1999年建板楼,,-
东城,水上华城 ,3室2厅,202.4,2300,113637,房本满五年,南北,其他,有电梯,低楼层(共24层)2008年建板塔结合,,-
东城,美惠大厦 ,3室2厅,185.18,1160,62642,房本满五年,西,精装,有电梯,高楼层(共15层)1998年建板塔结合,,-
东城,西营房 ,1室1厅,55.75,585,104933,房本满五年,西,精装,有电梯,中楼层(共19层)2005年建塔楼,,-
东城,华冠丽景 ,2室2厅,118.58,1450,122281,房本满五年,南北,其他,无,中楼层(共7层)2003年建板楼,,-
东城,雍和家园一期 ,2室1厅,97.04,940,96868,房本满五年,西南,简装,无,高楼层(共16层)2001年建板塔结合,,-
东城,大方家胡同 ,3室1厅,111.98,1300,116093,房本满五年,南北,其他,有电梯,中楼层(共9层)2003年建板塔结合,,-
东城,豆瓣胡同 ,3室1厅,86.2,1250,145012,房本满五年,南北,简装,有电梯,低楼层(共12层)2003年建板楼,,-
东城,安德路47号院 ,3室1厅,68.75,721,104873,房本满五年,南北,精装,无电梯,顶层(共6层)1986年建板楼,,-
东城,富贵园一区 ,3室2厅,129.72,1500,115634,房本满五年,南北,精装,无,低楼层(共11层)2004年建板楼,,-
东城,新世界中心 ,1室1厅,100.06,580,57966,房本满五年,西,精装,有电梯,中楼层(共16层)1996年建塔楼,,-
东城,金鱼池西区 ,1室1厅,51.36,489,95211,房本满五年,东,简装,无电梯,高楼层(共6层)2002年建板塔结合,,-
东城,南岗子 ,2室1厅,57.87,578,99880,房本满五年,南北,精装,无电梯,中楼层(共6层)1988年建板楼,,-
东城,培新街乙5号院 ,2室1厅,71.66,750,104661,房本满五年,东南西,简装,有电梯,中楼层(共16层)1999年建板塔结合,,-
东城,新景家园西区 ,2室1厅,92.75,930,100270,房本满五年,西,简装,有电梯,中楼层(共11层)2001年建板塔结合,,-
东城,富贵园三区 ,2室1厅,69.9,690,98713,房本满五年,东,简装,有电梯,顶层(共18层)2002年建塔楼,,-
东城,当代MOMA ,4室2厅,321.06,3100,96556,房本满五年,西北,精装,有电梯,高楼层(共19层)2008年建塔楼,,-
东城,朝阳首府 ,2室2厅,124.24,1350,108661,房本满五年,西南,精装,有电梯,中楼层(共11层)2009年建板楼,,-
东城,保利蔷薇 ,1室0厅,40.77,510,125092,房本满五年,北,精装,有电梯,低楼层(共16层)2008年建板塔结合,,-
东城,青年湖南街 ,1室1厅,52.09,650,124785,房本满五年,南北,简装,有电梯,低楼层(共14层)1996年建板塔结合,,-
东城,保利蔷薇 ,2室1厅,81.74,950,116223,房本满五年,南东北,精装,有电梯,高楼层(共16层)2008年建板塔结合,,-
东城,春秀路 ,2室1厅,62.54,610,97538,房本满五年,南,简装,有电梯,低楼层(共21层)1992年建塔楼,,-
东城,西堂子胡同 ,3室1厅,69.35,850,122567,房本满五年,南北,简装,无电梯,中楼层(共6层)1988年建板楼,,-
东城,大羊宜宾胡同35号院 ,3室1厅,72.41,820,113245,,南北,简装,无电梯,顶层(共6层)1988年建板楼,,-
东城,东环居苑 ,2室2厅,99.23,850,85660,,东南,精装,有电梯,低楼层(共18层)2004年建塔楼,,-
东城,东花市北里中区 ,2室2厅,126.55,1265,99961,,南北,精装,有电梯,低楼层(共6层)1990年建板楼,,-
东城,悠胜美苑 ,2室1厅,98.37,765,77768,,西,其他,有电梯,高楼层(共18层)2001年建塔楼,,-
东城,恒基中心 ,3室1厅,160.56,1150,71625,,东北,精装,无,高楼层(共23层)1997年建塔楼,,-
东城,万国城MOMA ,3室2厅,303.61,3550,116927,,南西北,精装,有电梯,高楼层(共26层)2005年建板楼,,-
东城,龙潭北里二条 ,3室1厅,61.85,516,83428,房本满五年,南,简装,无电梯,中楼层(共5层)1960年建板楼,,-
东城,景泰西里西区 ,2室1厅,88.84,675,75980,房本满五年,南北,精装,无,中楼层(共9层)2005年建板塔结合,,-
东城,民安小区东直门北中街 ,2室1厅,77.97,830,106452,房本满五年,东西,精装,有电梯,中楼层(共13层)2002年建板塔结合,,-
东城,天娇园 ,2室2厅,98.06,1029.6,104997,房本满五年,西,精装,有电梯,中楼层(共11层)2008年建板塔结合,,-
东城,青年湖东里 ,2室1厅,53.96,510,94515,房本满五年,西北,简装,无,低楼层(共6层)1992年建板楼,,-
